Account, LUEs, InstalledMonth
617,023,156.0
617,024,764.3
617,025,775.4999999999998
617,026,835.0
617,027,644.4999999999998
617,028,17.0
617,030,435.3
617,031,144.0
617,032,112.0
617,034,143.6
617,035,98.3
617,036,86.0
617,037,41.6
617,038,50.3
617,039,107.6
617,040,1.0
617,041,0
617,042,1.0
617,043,1.0
617,045,0
617,051,578.2
617,053,739.9
617,055,0
617,057,2.0
617,116,757.3
618,001,972.5999999999987
618,002,2650.6000000000017
618,003,16.0
618,004,1065.0999999999997
618,005,2086.2
618,006,471.6
618,008,1089.6999999999996
618,010,2790.1000000000004
618,011,1799.1
618,012,1024.6999999999998
618,013,997.3999999999999
618,015,581.0
618,016,111.3
618,017,1073.7999999999997
618,018,421.0
618,019,353.90000000000003
618,021,105.0
618,023,161.0
618,024,792.3
618,025,806.4999999999998
618,026,879.0
618,027,678.4999999999998
618,028,17.0
618,030,446.3
618,031,145.0
618,032,118.0
618,034,151.6
618,035,108.3
618,036,88.0
618,037,46.6
618,038,56.3
618,039,115.6
618,040,1.0
618,041,0
618,042,1.0
618,043,1.0
618,045,0
618,051,578.2
618,053,739.9
618,055,0
618,057,2.0
618,116,786.3
619,001,974.5999999999987
619,002,2666.900000000002
619,003,16.0
619,004,1067.0999999999997
619,005,2086.2
619,006,471.6
619,008,1108.6999999999998
619,010,2795.1000000000004
619,011,1813.1
619,012,1029.6999999999998
619,013,1012.3999999999999
619,015,581.0
619,016,111.3
619,017,1113.7999999999997
619,018,437.0
619,019,357.90000000000003
619,021,107.0
619,023,163.0
619,024,817.3
619,025,863.4999999999998
619,026,902.0
619,027,703.4999999999998
619,028,22.0
619,030,461.3
619,031,145.0
619,032,128.0
619,034,156.6
619,035,113.3
619,036,90.0
619,037,50.6
619,038,64.3
619,039,129.6
619,040,1.0
619,041,0
619,042,1.0
619,043,1.0
619,045,0
619,051,587.2
619,053,743.9
619,055,0
619,057,2.0
619,116,845.3
620,001,984.8999999999986
620,002,2718.200000000002
620,003,16.0
620,004,1073.0999999999997
620,005,2088.2
620,006,471.6
620,008,1108.6999999999998
620,010,2810.1000000000004
620,011,1833.1
620,012,1030.6999999999998
620,013,1029.3999999999996
620,015,582.0
620,016,111.3
620,017,1178.7999999999997
620,018,450.0
620,019,364.90000000000003
620,021,129.0
620,023,163.0
620,024,847.5999999999999
620,025,935.4999999999998
620,026,961.0
620,027,734.4999999999998
620,028,27.0
620,030,480.3
620,031,146.0
620,032,138.0
620,034,162.6
620,035,117.3
620,036,92.0
620,037,55.6
620,038,70.3
620,039,140.6
620,040,1.0
620,041,0
620,042,1.0
620,043,2.0
620,045,0
620,051,590.2
620,053,746.9
620,055,0
620,057,2.0
620,116,873.3
621,001,989.8999999999986
621,002,2778.800000000002
621,003,17.0
621,004,1081.0999999999997
621,005,2090.2
621,006,473.6
621,008,1124.6999999999996
621,010,2819.1000000000004
621,011,1839.1
621,012,1040.6999999999998
621,013,1054.3999999999996
621,015,582.0
621,016,111.3
621,017,1190.7999999999997
621,018,451.0
621,019,366.90000000000003
621,021,130.0
621,023,163.0
621,024,860.5999999999999
